"id_promotoria","cod_competencia","id_assunto_principal","id_localidade_judicial","id_orgao_juizo"
"28","41","12500","2743","271000816"
"28","2","15071","2713","270000593"
"28","36","10244","2713","271000831"
"28","2","15076","2713","270000593"
"28","41","12500","2743","271000817"
"28","4","9098","2713","270000592"
"28","2","10894","2737","270000656"
"28","2","7735","2713","270000593"
"28","5","14786","2713","270000594"
"28","5","14786","2713","270000594"
"28","1","10458","2713","270000593"
"28","1","9597","2713","270000592"
"28","40","6100","2743","271000814"
"28","4","7671","2713","270000595"
"28","36","13541","2713","271000831"
"28","2","15071","2713","270000592"
"28","1","10458","2713","270000593"
"29","5","11417","2741","270000644"
"29","7","3608","2741","270000644"
"29","5","3416","2741","270000644"
"29","10","9699","2741","270000643"
"29","3","7676","2741","270000643"
"29","2","7735","2741","270000643"
"29","5","4355","2741","270000644"
"29","5","4355","2741","270000644"
"29","6","3372","2741","270000644"
"29","5","5566","2741","270000644"
"29","9","3402","2741","270000644"
"29","41","12500","2743","271000815"
"29","3","5788","2741","270000643"
"29","3","6239","2741","270000643"
"29","3","5788","2741","270000643"
"29","2","10894","2741","270000643"
"29","3","12245","2741","270000643"
"29","5","3465","2741","270000644"
"29","3","6239","2741","270000643"
"29","10","12002","2741","270000643"
"30","5","3416","2713","270000594"
"30","5","3417","2713","270000594"
"30","5","14957","2713","270000594"
"30","5","11978","2713","270000594"
"30","5","3546","2713","270000594"
"30","5","11959","2713","270000594"
"30","5","3633","2713","270000594"
"30","5","5566","2713","270000594"
"30","5","3416","2713","270000594"
"30","5","10952","2713","270000594"
"30","46","3402","2713","270000594"
"30","5","3417","2713","270000594"
"30","5","3417","2713","270000594"
"30","5","3416","2713","270000594"
"30","5","3416","2713","270000594"
"30","46","3390","2713","270000594"
"30","5","3402","2713","270000594"
"30","5","3436","2713","270000594"
"30","5","3539","2713","270000594"
"30","5","5566","2713","270000594"
"31","6","4355","2716","270000601"
"31","6","4355","2716","270000601"
"31","9","10949","2716","270000601"
"31","7","3608","2716","270000601"
"31","9","10949","2716","270000601"
"31","9","12345","2716","270000601"
"31","25","3632","2716","270000601"
"31","7","3608","2716","270000601"
"31","9","10949","2716","270000601"
"31","9","3386","2716","270000601"
"31","9","10949","2716","270000601"
"31","9","14943","2716","270000601"
"31","46","3632","2716","270000601"
"31","46","3632","2716","270000601"
"31","9","12194","2716","270000601"
"31","9","12345","2716","270000601"
"31","46","3632","2716","270000601"
"31","25","3402","2716","270000601"
"31","5","10609","2716","270000601"
"31","5","3633","2716","270000601"
"32","9","14943","2702","270000573"
"32","46","3632","2702","270000573"
"32","25","5885","2702","270000573"
"32","7","3608","2702","270000573"
"32","9","10949","2702","270000573"
"32","2","15068","2702","270000572"
"32","3","5787","2702","270000572"
"32","3","5787","2702","270000572"
"32","5","7928","2702","270000573"
"32","3","6239","2702","270000572"
"32","9","14943","2702","270000573"
"32","9","14943","2702","270000573"
"32","9","14943","2702","270000573"
"32","9","14943","2702","270000573"
"32","3","6239","2702","270000572"
"32","8","10907","2702","270000573"
"32","5","3416","2702","270000573"
"32","2","3033612","2702","270000572"
"32","3","5805","2702","270000572"
"32","3","14923","2702","270000572"
"33","6","3372","2716","270000601"
"33","10","9678","2716","271000807"
"33","10","9678","2716","271000807"
"33","3","7687","2716","271000807"
"33","3","12245","2716","271000807"
"33","3","5788","2716","271000807"
"33","3","10859","2716","271000807"
"33","3","6239","2716","271000807"
"33","32","7659","2716","270000679"
"33","3","7660","2716","271000807"
"33","3","12245","2716","271000807"
"33","3","10859","2716","271000807"
"33","3","7677","2716","271000807"
"33","3","12236","2716","271000807"
"33","9","14943","2716","270000601"
"33","3","6239","2716","271000807"
"33","3","6239","2716","271000807"
"33","3","10859","2716","271000807"
"33","3","15046","2716","271000807"
"33","32","7659","2716","270000679"
"34","2","10671","2703","270000574"
"34","9","3402","2703","270000575"
"34","9","3402","2703","270000575"
"34","3","5788","2703","270000574"
"34","1","9160","2703","270000574"
"34","40","6104","2743","271000814"
"34","3","6238","2703","270000574"
"34","3","6238","2703","270000574"
"34","3","6239","2703","270000574"
"34","3","14923","2703","270000574"
"34","9","14943","2703","270000575"
"34","6","3372","2703","270000575"
"34","6","3370","2703","270000575"
"34","5","4355","2703","270000575"
"34","25","3397","2703","270000575"
"34","25","3397","2703","270000575"
"34","3","5805","2703","270000574"
"34","10","9638","2703","270000574"
"34","9","12345","2703","270000575"
"34","9","12345","2703","270000575"
"35","9","12347","2721","270000563"
"35","9","12347","2721","270000563"
"35","9","10949","2721","270000563"
"35","9","10949","2721","270000563"
"35","9","14943","2721","270000563"
"35","9","10949","2721","270000563"
"35","5","3633","2721","270000563"
"35","9","3402","2721","270000563"
"35","9","3402","2721","270000563"
"35","46","3632","2721","270000563"
"35","5","5571","2721","270000563"
"35","6","3370","2721","270000563"
"35","46","3632","2721","270000563"
"35","9","5571","2721","270000563"
"35","9","10949","2721","270000563"
"35","9","10949","2721","270000563"
"35","5","3633","2721","270000563"
"35","46","3632","2721","270000563"
"35","5","3608","2721","270000563"
"35","5","3402","2721","270000563"
"36","6","3372","2705","270000579"
"36","6","3370","2705","270000579"
"36","3","7677","2705","270000578"
"36","3","5787","2702","270000572"
"36","25","3372","2705","270000579"
"36","5","11417","2705","270000579"
"36","3","5788","2705","270000578"
"36","2","7925","2705","270000578"
"36","1","10458","2705","270000578"
"36","3","10859","2705","270000578"
"36","3","10859","2705","270000578"
"36","2","15070","2705","270000578"
"36","6","3372","2705","270000579"
"36","9","14227","2705","270000579"
"36","7","3608","2705","270000579"
"36","25","12347","2705","270000579"
"36","3","10859","2705","270000578"
"36","3","7677","2705","270000578"
"36","3","10859","2705","270000578"
"36","3","6239","2705","270000578"
"37","3","12245","2721","270000564"
"37","10","9859","2721","270000564"
"37","5","3633","2721","270000563"
"37","10","12490","2721","270000564"
"37","3","12245","2721","270000564"
"37","3","6239","2725","270000655"
"37","32","6239","2721","270000680"
"37","32","14923","2721","270000680"
"37","3","12245","2721","270000564"
"37","3","12245","2721","270000564"
"37","3","10859","2721","270000564"
"37","3","5804","2721","270000564"
"37","3","10859","2721","270000564"
"37","3","5802","2721","270000564"
"37","3","10859","2721","270000564"
"37","3","14923","2721","270000564"
"37","10","12500","2721","270000564"
"37","3","5788","2721","270000564"
"37","3","10859","2721","270000564"
"37","3","9180","2721","270000564"
"38","6","4355","2708","270000583"
"38","25","5885","2708","270000583"
"38","3","5788","2708","270000582"
"38","3","5788","2708","270000582"
"38","10","12005","2708","270000582"
"38","5","15056","2708","270000583"
"38","41","12500","2743","271000816"
"38","9","12194","2708","270000583"
"38","5","4355","2708","270000583"
"38","25","3397","2708","270000583"
"38","25","10508","2708","270000583"
"38","25","12347","2708","270000583"
"38","5","7928","2708","270000583"
"38","5","5885","2708","270000583"
"38","3","7677","2708","270000582"
"38","32","5802","2708","270000698"
"38","6","3372","2708","270000583"
"38","3","5788","2708","270000582"
"38","5","3637","2708","270000583"
"38","5","11417","2708","270000583"
"39","9","12194","2710","270000587"
"39","6","5555","2710","270000587"
"39","5","10949","2710","270000587"
"39","5","3431","2710","270000587"
"39","5","3435","2710","270000587"
"39","5","3397","2710","270000587"
"39","5","3402","2710","270000587"
"39","12","10949","2710","270000587"
"39","5","4355","2710","270000587"
"39","5","11417","2710","270000587"
"39","5","3573","2710","270000587"
"39","5","3633","2710","270000587"
"39","5","3633","2710","270000587"
"39","5","3431","2710","270000587"
"39","5","3431","2710","270000587"
"39","5","3431","2710","270000587"
"39","5","11959","2710","270000587"
"39","5","3437","2710","270000587"
"39","5","3402","2710","270000587"
"39","5","11417","2710","270000587"
"40","25","3402","2721","270000669"
"40","25","3566","2721","270000669"
"40","25","3402","2721","270000669"
"40","25","11797","2721","270000669"
"40","25","3396","2721","270000669"
"40","25","3402","2721","270000669"
"40","25","3402","2721","270000669"
"40","1","12806","2721","270000562"
"40","1","12805","2721","270000562"
"40","2","7925","2721","270000562"
"40","25","3396","2721","270000669"
"40","38","12487","2729","271000338"
"40","25","3396","2721","270000669"
"40","25","3396","2721","270000669"
"40","25","3533","2721","270000669"
"40","25","5885","2721","270000669"
"40","36","12513","2721","271000827"
"40","36","12494","2721","271000827"
"40","36","10671","2721","271000827"
"40","39","5000","2721","270000564"
"41","5","4355","2714","270000597"
"41","6","3370","2714","270000597"
"41","9","12194","2714","270000597"
"41","5","3608","2714","270000597"
"41","5","3633","2714","270000597"
"41","9","10949","2714","270000597"
"41","5","4355","2714","270000597"
"41","5","7928","2714","270000597"
"41","25","3386","2714","270000597"
"41","5","3386","2714","270000597"
"41","5","3417","2714","270000597"
"41","25","3573","2714","270000597"
"41","5","7928","2714","270000597"
"41","5","5571","2714","270000597"
"41","5","5566","2714","270000597"
"41","46","3632","2714","270000597"
"41","46","3632","2714","270000597"
"41","5","3372","2714","270000597"
"41","5","3416","2714","270000597"
"41","6","3372","2714","270000597"
"42","46","3632","2722","270000548"
"42","5","3435","2722","270000548"
"42","7","3608","2722","270000548"
"42","46","3632","2722","270000548"
"42","46","3632","2722","270000548"
"42","5","3633","2722","270000548"
"42","46","3632","2722","270000548"
"42","5","3416","2722","270000548"
"42","5","3416","2722","270000548"
"42","5","10609","2722","270000548"
